--------- beginning of /dev/log/system
05-19 16:59:23.553 E/AndroidRuntime(20760): FATAL EXCEPTION: main
05-19 16:59:23.553 E/AndroidRuntime(20760): Process: com.boco.apphall, PID: 20760
05-19 16:59:23.553 E/AndroidRuntime(20760): android.content.ActivityNotFoundException: No Activity found to handle Intent { act=android.intent.action.VIEW typ=vnd.android-dir/mms-sms (has extras) }
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.Instrumentation.checkStartActivityResult(Instrumentation.java:1649)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.Instrumentation.execStartActivity(Instrumentation.java:1441)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.Activity.startActivityForResult(Activity.java:3424)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.Activity.startActivityForResult(Activity.java:3385)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:748)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.Activity.startActivity(Activity.java:3627)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.Activity.startActivity(Activity.java:3595)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at com.boco.apphall.guangxi.mix.apps.manager.FriendShareMain$2.onItemClick(FriendShareMain.java:107)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.widget.AdapterView.performItemClick(AdapterView.java:299)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.widget.AbsListView.performItemClick(AbsListView.java:1113)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.widget.AbsListView$PerformClick.run(AbsListView.java:2904)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.widget.AbsListView$3.run(AbsListView.java:3638)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.os.Handler.handleCallback(Handler.java:733)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.os.Handler.dispatchMessage(Handler.java:95)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.os.Looper.loop(Looper.java:136)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at android.app.ActivityThread.main(ActivityThread.java:5019)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at java.lang.reflect.Method.invokeNative(Native Method)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at java.lang.reflect.Method.invoke(Method.java:515)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)
05-19 16:59:23.553 E/AndroidRuntime(20760): 	at dalvik.system.NativeStart.main(Native Method)
05-19 16:59:30.973 E/AndroidRuntime(20842): FATAL EXCEPTION: main
05-19 16:59:30.973 E/AndroidRuntime(20842): Process: com.boco.apphall, PID: 20842
05-19 16:59:30.973 E/AndroidRuntime(20842): android.content.ActivityNotFoundException: No Activity found to handle Intent { act=android.intent.action.VIEW typ=vnd.android-dir/mms-sms (has extras) }
