--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@3fc9f; boundsInParent: Rect(0, 0 - 840, 41); boundsInScreen: Rect(940, 401 - 1780, 442); packageName: com.boco.apphall; className: android.widget.TextView; text: 应用评论; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_til; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@40060; boundsInParent: Rect(0, 0 - 69, 59); boundsInScreen: Rect(965, 462 - 1034, 521); packageName: com.boco.apphall; className: android.widget.TextView; text: 0分; contentDescription: null; viewIdResName: com.boco.apphall:id/app_totalgrade_title; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@40421; boundsInParent: Rect(0, 0 - 37, 33); boundsInScreen: Rect(1140, 457 - 1177, 490); packageName: com.boco.apphall; className: android.widget.TextView; text: 5星; contentDescription: null; viewIdResName: com.boco.apphall:id/fiveStar; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@407e2; boundsInParent: Rect(0, 0 - 31, 33); boundsInScreen: Rect(1517, 457 - 1548, 490); packageName: com.boco.apphall; className: android.widget.TextView; text: 0%; contentDescription: null; viewIdResName: com.boco.apphall:id/fiveStarPct; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@40ba3; boundsInParent: Rect(0, 0 - 37, 33); boundsInScreen: Rect(1140, 500 - 1177, 533); packageName: com.boco.apphall; className: android.widget.TextView; text: 4星; contentDescription: null; viewIdResName: com.boco.apphall:id/fourStar; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@40f64; boundsInParent: Rect(0, 0 - 263, 33); boundsInScreen: Rect(1517, 500 - 1780, 533); packageName: com.boco.apphall; className: android.widget.TextView; text: 0%; contentDescription: null; viewIdResName: com.boco.apphall:id/fourStarPct; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@41325; boundsInParent: Rect(0, 0 - 37, 33); boundsInScreen: Rect(1140, 543 - 1177, 576); packageName: com.boco.apphall; className: android.widget.TextView; text: 3星; contentDescription: null; viewIdResName: com.boco.apphall:id/threeStar; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@416e6; boundsInParent: Rect(0, 0 - 263, 33); boundsInScreen: Rect(1517, 543 - 1780, 576); packageName: com.boco.apphall; className: android.widget.TextView; text: 0%; contentDescription: null; viewIdResName: com.boco.apphall:id/threeStarPct; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@41aa7; boundsInParent: Rect(0, 0 - 37, 33); boundsInScreen: Rect(1140, 586 - 1177, 619); packageName: com.boco.apphall; className: android.widget.TextView; text: 2星; contentDescription: null; viewIdResName: com.boco.apphall:id/twoStar; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@41e68; boundsInParent: Rect(0, 0 - 263, 33); boundsInScreen: Rect(1517, 586 - 1780, 619); packageName: com.boco.apphall; className: android.widget.TextView; text: 0%; contentDescription: null; viewIdResName: com.boco.apphall:id/twoStarPct; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:25:46.143 E/AccessibilityNodeInfoCache(26958): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@42229; boundsInParent: Rect(0, 0 - 37, 33); boundsInScreen: Rect(1140, 629 - 1177, 662); packageName: com.boco.apphall; className: android.widget.TextView; text: 1星; contentDescription: null; viewIdResName: com.boco.apphall:id/oneStar; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
