--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@c34a; boundsInParent: Rect(0, 0 - 430, 41); boundsInScreen: Rect(10, 299 - 440, 340); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text: 当前纬度; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@c70b; boundsInParent: Rect(0, 0 - 440, 73); boundsInScreen: Rect(450, 383 - 890, 456); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.gx.breakpointsearch:id/breakpoint_detail_point_longitude; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@cacc; boundsInParent: Rect(0, 0 - 430, 41); boundsInScreen: Rect(10, 399 - 440, 440); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text: 断点经度; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@ce8d; boundsInParent: Rect(0, 0 - 440, 73); boundsInScreen: Rect(450, 483 - 890, 556); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.gx.breakpointsearch:id/breakpoint_detail_point_latitude; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@d24e; boundsInParent: Rect(0, 0 - 430, 41); boundsInScreen: Rect(10, 499 - 440, 540); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text: 断点纬度; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@d60f; boundsInParent: Rect(0, 0 - 880, 61); boundsInScreen: Rect(10, 580 - 890, 641); packageName: com.boco.gx.breakpointsearch; className: android.widget.Button; text: 断点定位; contentDescription: null; viewIdResName: com.boco.gx.breakpointsearch:id/breakpoint_detail_show_map; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@d9d0; boundsInParent: Rect(0, 0 - 160, 97); boundsInScreen: Rect(575, 1338 - 735, 1435); packageName: com.boco.gx.breakpointsearch; className: android.widget.ZoomButton; text: null; contentDescription: null; viewIdResName: android:id/zoomOut; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_LONG_CLICK, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@dd91; boundsInParent: Rect(0, 0 - 160, 97); boundsInScreen: Rect(735, 1338 - 895, 1435); packageName: com.boco.gx.breakpointsearch; className: android.widget.ZoomButton; text: null; contentDescription: null; viewIdResName: android:id/zoomIn; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: true; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_LONG_CLICK, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@e152; boundsInParent: Rect(0, 0 - 58, 30); boundsInScreen: Rect(5, 1350 - 63, 1380); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text:  50米 ; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@e513; boundsInParent: Rect(0, 0 - 56, 30); boundsInScreen: Rect(6, 1350 - 62, 1380); packageName: com.boco.gx.breakpointsearch; className: android.widget.TextView; text:  50米 ; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:39:12.613 E/AccessibilityNodeInfoCache(29854): Node from: 1014 not from:1013 android.view.accessibility.AccessibilityNodeInfo@e8d4; boundsInParent: Rect(0, 0 - 900, 1440); boundsInScreen: Rect(0, 0 - 900, 1440); packageName: com.boco.gx.breakpointsearch; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
